epoch,tr_loss,tr_acc,val_loss,val_acc
1,0.487477138985,0.772497472435,0.149923051149,0.95
2,0.2393242674,0.899898887886,0.121615418233,0.95625
3,0.173943566812,0.933265925237,0.137934857979,0.93125
4,0.239675446486,0.90394337739,0.165450432897,0.925
5,0.185168739894,0.924165824125,0.164686070196,0.9125
epoch,tr_loss,tr_acc,val_loss,val_acc
1,0.197029546807,0.920121334742,0.48392971158,0.70625
2,0.0951133768467,0.964610718017,0.108065956272,0.95625
3,0.0742801032618,0.970677452032,0.171585517796,0.94375
4,0.0614193744806,0.981799797776,0.186207721429,0.925
5,0.0526256182093,0.978766430859,0.172139505809,0.9375
6,0.0456707983568,0.984833164813,0.106863614381,0.95
7,0.014215286004,0.995955510617,0.0811845155549,0.96875
8,0.0203987932979,0.992922143579,0.101961876875,0.95
9,0.0191454644468,0.992922143579,0.258372717071,0.89375
10,0.0113120684727,0.995955510617,0.0789963937161,0.98125
11,0.0127258218892,0.994944388271,0.197477933113,0.925
12,0.0240722685311,0.989888776542,0.149141000398,0.94375
13,0.0102667495664,0.997977755308,0.133285995352,0.94375
14,0.0105607404553,0.995955510677,0.0718566737982,0.975
15,0.00980805806246,0.995955510617,0.0992634522132,0.96875
16,0.00584376795233,0.998988877654,0.0995849931984,0.96875
17,0.012912733645,0.995955510617,0.0669174632333,0.96875
18,0.0142712106884,0.993933265925,0.0815704590175,0.975
19,0.00791324196044,0.997977755308,0.145852671155,0.95625
20,0.00720384162927,0.997977755308,0.0768134967389,0.975
21,0.0127643186743,0.994944388271,0.0715616523288,0.975
22,0.00624370799165,0.997977755308,0.104274290331,0.96875
23,0.00738337224644,0.996966632963,0.130691171354,0.96875
24,0.00603211399266,0.997977755308,0.0922745430296,0.9625
25,0.0038325789735,0.998988877654,0.077042348913,0.975
